Ano;Receita Total;Receita via Cartão de Crédito;Receita via Boletos;Receita via Pix;Receita via Transferências;Despesas com Empregados;Despesas com Aluguel;Despesas com Energia;Despesas com Água;Despesas com Fornecedores;Despesas Operacionais;Total de Despesas;Saldo do Mês;Saldo Acumulado
01/2021;218.904,88;32.835,73;120.397,68;65.671,46;21.890,49;90.000;5.000;1.500;500;65.671,46;32.835,73;195.507,20;23.397,68;23.397,68
02/2021;209.147,98;31.372,20;115.031,39;62.744,39;20.914,80;90.000;5.000;1.500;500;62.744,39;31.372,20;191.116,59;18.031,39;41.429,07
03/2021;232.476,98;34.871,55;127.862,34;69.743,09;23.247,70;90.000;5.000;1.500;500;69.743,09;34.871,55;201.614,64;30.862,34;72.291,41
04/2021;244.923,29;36.738,49;134.707,81;73.476,99;24.492,33;90.000;5.000;1.500;500;73.476,99;36.738,49;207.215,48;37.707,81;109.999,22
05/2021;268.690,10;40.303,52;147.779,56;80.607,03;26.869,01;90.000;5.000;1.500;500;80.607,03;40.303,52;217.910,55;50.779,56;160.778,77
06/2021;292.707,09;43.906,06;160.988,90;87.812,13;29.270,71;90.000;5.000;1.500;500;87.812,13;43.906,06;228.718,19;63.988,90;224.767,67
07/2021;283.012,74;42.451,91;155.657,00;84.903,82;28.301,27;90.000;5.000;1.500;500;84.903,82;42.451,91;224.355,73;58.657,00;283.424,68
08/2021;273.193,29;40.978,99;150.256,31;81.957,99;27.319,33;90.000;5.000;1.500;500;81.957,99;40.978,99;219.936,98;53.256,31;336.680,99
09/2021;263.248,75;39.487,31;144.786,81;78.974,63;26.324,88;90.000;5.000;1.500;500;78.974,63;39.487,31;215.461,94;47.786,81;384.467,80
10/2021;253.179,13;37.976,87;139.248,52;75.953,74;25.317,91;90.000;5.000;1.500;500;75.953,74;37.976,87;210.930,61;42.248,52;426.716,32
11/2021;231.413,73;34.712,06;127.277,55;69.424,12;23.141,37;90.000;5.000;1.500;500;69.424,12;34.712,06;201.136,18;30.277,55;456.993,87
12/2021;209.398,15;31.409,72;115.168,98;62.819,45;20.939,82;90.000;5.000;1.500;500;62.819,45;31.409,72;191.229,17;18.168,98;475.162,86
01/2022;233.915,50;35.087,32;128.653,52;70.174,65;23.391,55;90.000;5.000;1.500;500;70.174,65;35.087,32;202.261,97;31.653,52;506.816,38
02/2022;223.408,06;33.511,21;122.874,44;67.022,42;22.340,81;90.000;5.000;1.500;500;67.022,42;33.511,21;197.533,63;25.874,44;532.690,82
03/2022;248.238,13;37.235,72;136.530,97;74.471,44;24.823,81;90.000;5.000;1.500;500;74.471,44;37.235,72;208.707,16;39.530,97;572.221,79
04/2022;261.434,97;39.215,25;143.789,23;78.430,49;26.143,50;90.000;5.000;1.500;500;78.430,49;39.215,25;214.645,74;46.789,23;619.011,02
05/2022;286.702,85;43.005,43;157.686,57;86.010,85;28.670,28;90.000;5.000;1.500;500;86.010,85;43.005,43;226.016,28;60.686,57;679.697,59
06/2022;312.220,90;46.833,14;171.721,50;93.666,27;31.222,09;90.000;5.000;1.500;500;93.666,27;46.833,14;237.499,41;74.721,50;754.419,08
07/2022;301.776,01;45.266,40;165.976,81;90.532,80;30.177,60;90.000;5.000;1.500;500;90.532,80;45.266,40;232.799,20;68.976,81;823.395,89
08/2022;291.206,03;43.680,90;160.163,32;87.361,81;29.120,60;90.000;5.000;1.500;500;87.361,81;43.680,90;228.042,71;63.163,32;886.559,21
09/2022;280.510,97;42.076,64;154.281,03;84.153,29;28.051,10;90.000;5.000;1.500;500;84.153,29;42.076,64;223.229,93;57.281,03;943.840,24
10/2022;269.690,81;40.453,62;148.329,95;80.907,24;26.969,08;90.000;5.000;1.500;500;80.907,24;40.453,62;218.360,86;51.329,95;995.170,18
11/2022;246.424,35;36.963,65;135.533,39;73.927,30;24.642,43;90.000;5.000;1.500;500;73.927,30;36.963,65;207.890,96;38.533,39;1.033.703,58
12/2022;222.907,71;33.436,16;122.599,24;66.872,31;22.290,77;90.000;5.000;1.500;500;66.872,31;33.436,16;197.308,47;25.599,24;1.059.302,82
01/2023;248.926,12;37.338,92;136.909,37;74.677,84;24.892,61;90.000;5.000;1.500;500;74.677,84;37.338,92;209.016,75;39.909,37;1.099.212,18
02/2023;237.668,15;35.650,22;130.717,48;71.300,45;23.766,82;90.000;5.000;1.500;500;71.300,45;35.650,22;203.950,67;33.717,48;1.132.929,67
03/2023;263.999,28;39.599,89;145.199,61;79.199,79;26.399,93;90.000;5.000;1.500;500;79.199,79;39.599,89;215.799,68;48.199,61;1.181.129,27
