Ano;Receita Total;Receita via Cartão de Crédito;Receita via Boletos;Receita via Pix;Receita via Transferências;Despesas com Empregados;Despesas com Aluguel;Despesas com Energia;Despesas com Água;Despesas com Fornecedores;Despesas Operacionais;Total de Despesas;Saldo do Mês;Saldo Acumulado
01/2021;30.567,82;10.698,74;6.113,56;12.227,13;1.528,39;15.000;2.000;800;300;9.170,35;4.585,17;31.855,52;-1.287,70;-1.287,70
02/2021;28.997,94;10.149,28;5.799,59;11.599,18;1.449,90;15.000;2.000;800;300;8.699,38;4.349,69;31.149,07;-2.151,13;-3.438,83
03/2021;32.004,51;11.201,58;6.400,90;12.801,80;1.600,23;15.000;2.000;800;300;9.601,35;4.800,68;32.502,03;-497,52;-3.936,35
04/2021;33.480,49;11.718,17;6.696,10;13.392,20;1.674,02;15.000;2.000;800;300;10.044,15;5.022,07;33.166,22;314,27;-3.622,08
05/2021;36.471,77;12.765,12;7.294,35;14.588,71;1.823,59;15.000;2.000;800;300;10.941,53;5.470,77;34.512,30;1.959,48;-1.662,61
06/2021;39.454,32;13.809,01;7.890,86;15.781,73;1.972,72;15.000;2.000;800;300;11.836,30;5.918,15;35.854,44;3.599,88;1.937,27
07/2021;37.882,26;13.258,79;7.576,45;15.152,90;1.894,11;15.000;2.000;800;300;11.364,68;5.682,34;35.147,02;2.735,24;4.672,51
08/2021;36.314,57;12.710,10;7.262,91;14.525,83;1.815,73;15.000;2.000;800;300;10.894,37;5.447,19;34.441,56;1.873,01;6.545,53
09/2021;34.751,24;12.162,93;6.950,25;13.900,50;1.737,56;15.000;2.000;800;300;10.425,37;5.212,69;33.738,06;1.013,18;7.558,71
10/2021;33.192,28;11.617,30;6.638,46;13.276,91;1.659,61;15.000;2.000;800;300;9.957,69;4.978,84;33.036,53;155,76;7.714,47
11/2021;30.131,14;10.545,90;6.026,23;12.052,45;1.506,56;15.000;2.000;800;300;9.039,34;4.519,67;31.659,01;-1.527,88;6.186,59
12/2021;27.078,72;9.477,55;5.415,74;10.831,49;1.353,94;15.000;2.000;800;300;8.123,62;4.061,81;30.285,42;-3.206,70;2.979,89
01/2022;30.043,80;10.515,33;6.008,76;12.017,52;1.502,19;15.000;2.000;800;300;9.013,14;4.506,57;31.619,71;-1.575,91;1.403,97
02/2022;28.500,12;9.975,04;5.700,02;11.400,05;1.425,01;15.000;2.000;800;300;8.550,04;4.275,02;30.925,06;-2.424,93;-1.020,96
03/2022;31.454,28;11.009,00;6.290,86;12.581,71;1.572,71;15.000;2.000;800;300;9.436,29;4.718,14;32.254,43;-800,14;-1.821,10
04/2022;32.904,07;11.516,43;6.580,81;13.161,63;1.645,20;15.000;2.000;800;300;9.871,22;4.935,61;32.906,83;-2,76;-1.823,86
05/2022;35.842,95;12.545,03;7.168,59;14.337,18;1.792,15;15.000;2.000;800;300;10.752,89;5.376,44;34.229,33;1.613,62;-210,24
06/2022;38.773,09;13.570,58;7.754,62;15.509,24;1.938,65;15.000;2.000;800;300;11.631,93;5.815,96;35.547,89;3.225,20;3.014,96
07/2022;37.227,24;13.029,53;7.445,45;14.890,89;1.861,36;15.000;2.000;800;300;11.168,17;5.584,09;34.852,26;2.374,98;5.389,94
08/2022;35.685,74;12.490,01;7.137,15;14.274,30;1.784,29;15.000;2.000;800;300;10.705,72;5.352,86;34.158,58;1.527,16;6.917,10
09/2022;34.148,62;11.952,02;6.829,72;13.659,45;1.707,43;15.000;2.000;800;300;10.244,59;5.122,29;33.466,88;681,74;7.598,84
10/2022;32.615,86;11.415,55;6.523,17;13.046,34;1.630,79;15.000;2.000;800;300;9.784,76;4.892,38;32.777,14;-161,28;7.437,57
11/2022;29.607,12;10.362,49;5.921,42;11.842,85;1.480,36;15.000;2.000;800;300;8.882,13;4.441,07;31.423,20;-1.816,09;5.621,48
12/2022;26.607,10;9.312,49;5.321,42;10.642,84;1.330,36;15.000;2.000;800;300;7.982,13;3.991,07;30.073,20;-3.466,09;2.155,39
01/2023;29.519,78;10.331,92;5.903,96;11.807,91;1.475,99;15.000;2.000;800;300;8.855,93;4.427,97;31.383,90;-1.864,12;291,27
02/2023;28.002,30;9.800,81;5.600,46;11.200,92;1.400,12;15.000;2.000;800;300;8.400,69;4.200,35;30.701,04;-2.698,73;-2.407,47
03/2023;30.904,06;10.816,42;6.180,81;12.361,63;1.545,20;15.000;2.000;800;300;9.271,22;4.635,61;32.006,83;-1.102,76;-3.510,23
04/2023;32.327,65;11.314,68;6.465,53;12.931,06;1.616,38;15.000;2.000;800;300;9.698,30;4.849,15;32.647,44;-319,79;-3.830,02
05/2023;35.214,13;12.324,94;7.042,83;14.085,65;1.760,71;15.000;2.000;800;300;10.564,24;5.282,12;33.946,36;1.267,77;-2.562,25
06/2023;38.091,87;13.332,15;7.618,37;15.236,75;1.904,59;15.000;2.000;800;300;11.427,56;5.713,78;35.241,34;2.850,53;288,27
07/2023;36.572,21;12.800,27;7.314,44;14.628,88;1.828,61;15.000;2.000;800;300;10.971,66;5.485,83;34.557,49;2.014,72;2.302,99
08/2023;35.056,92;12.269,92;7.011,38;14.022,77;1.752,85;15.000;2.000;800;300;10.517,08;5.258,54;33.875,61;1.181,31;3.484,30
09/2023;33.546,00;11.741,10;6.709,20;13.418,40;1.677,30;15.000;2.000;800;300;10.063,80;5.031,90;33.195,70;350,30;3.834,59
10/2023;32.039,44;11.213,80;6.407,89;12.815,78;1.601,97;15.000;2.000;800;300;9.611,83;4.805,92;32.517,75;-478,31;3.356,29
11/2023;29.083,10;10.179,08;5.816,62;11.633,24;1.454,15;15.000;2.000;800;300;8.724,93;4.362,46;31.187,39;-2.104,30;1.251,99
12/2023;26.135,48;9.147,42;5.227,10;10.454,19;1.306,77;15.000;2.000;800;300;7.840,65;3.920,32;29.860,97;-3.725,48;-2.473,49
