Ano;Receita Total;Receita via Cartão de Crédito;Receita via Boletos;Receita via Pix;Receita via Transferências;Despesas com Empregados;Despesas com Aluguel;Despesas com Energia;Despesas com Água;Despesas com Fornecedores;Despesas Operacionais;Total de Despesas;Saldo do Mês;Saldo Acumulado
01/2021;888.062,16;44.403,11;577.240,40;222.015,54;44.403,11;150.000;5.000;1.500;500;266.418,65;133.209,32;556.627,97;331.434,19;331.434,19
02/2021;840.043,37;42.002,17;546.028,19;210.010,84;42.002,17;150.000;5.000;1.500;500;252.013,01;126.006,51;535.019,52;305.023,85;636.458,04
03/2021;924.472,71;46.223,64;600.907,26;231.118,18;46.223,64;150.000;5.000;1.500;500;277.341,81;138.670,91;573.012,72;351.459,99;987.918,03
04/2021;964.308,64;48.215,43;626.800,61;241.077,16;48.215,43;150.000;5.000;1.500;500;289.292,59;144.646,30;590.938,89;373.369,75;1.361.287,78
05/2021;1.047.405,88;52.370,29;680.813,82;261.851,47;52.370,29;150.000;5.000;1.500;500;314.221,76;157.110,88;628.332,65;419.073,23;1.780.361,01
06/2021;1.129.741,93;56.487,10;734.332,25;282.435,48;56.487,10;150.000;5.000;1.500;500;338.922,58;169.461,29;665.383,87;464.358,06;2.244.719,07
07/2021;1.081.532,84;54.076,64;702.996,35;270.383,21;54.076,64;150.000;5.000;1.500;500;324.459,85;162.229,93;643.689,78;437.843,06;2.682.562,13
08/2021;1.033.704,35;51.685,22;671.907,83;258.426,09;51.685,22;150.000;5.000;1.500;500;310.111,31;155.055,65;622.166,96;411.537,39;3.094.099,53
09/2021;986.256,46;49.312,82;641.066,70;246.564,11;49.312,82;150.000;5.000;1.500;500;295.876,94;147.938,47;600.815,41;385.441,05;3.479.540,58
10/2021;939.189,16;46.959,46;610.472,96;234.797,29;46.959,46;150.000;5.000;1.500;500;281.756,75;140.878,37;579.635,12;359.554,04;3.839.094,62
11/2021;850.002,35;42.500,12;552.501,53;212.500,59;42.500,12;150.000;5.000;1.500;500;255.000,71;127.500,35;539.501,06;310.501,29;4.149.595,91
12/2021;761.576,73;38.078,84;495.024,88;190.394,18;38.078,84;150.000;5.000;1.500;500;228.473,02;114.236,51;499.709,53;261.867,20;4.411.463,11
01/2022;842.390,39;42.119,52;547.553,75;210.597,60;42.119,52;150.000;5.000;1.500;500;252.717,12;126.358,56;536.075,67;306.314,71;4.717.777,83
02/2022;796.655,19;39.832,76;517.825,87;199.163,80;39.832,76;150.000;5.000;1.500;500;238.996,56;119.498,28;515.494,83;281.160,35;4.998.938,18
03/2022;876.517,35;43.825,87;569.736,28;219.129,34;43.825,87;150.000;5.000;1.500;500;262.955,20;131.477,60;551.432,81;325.084,54;5.324.022,72
04/2022;914.069,69;45.703,48;594.145,30;228.517,42;45.703,48;150.000;5.000;1.500;500;274.220,91;137.110,45;568.331,36;345.738,33;5.669.761,05
05/2022;992.599,76;49.629,99;645.189,84;248.149,94;49.629,99;150.000;5.000;1.500;500;297.779,93;148.889,96;603.669,89;388.929,87;6.058.690,92
06/2022;1.070.368,63;53.518,43;695.739,61;267.592,16;53.518,43;150.000;5.000;1.500;500;321.110,59;160.555,29;638.665,88;431.702,75;6.490.393,67
07/2022;1.024.443,13;51.222,16;665.888,04;256.110,78;51.222,16;150.000;5.000;1.500;500;307.332,94;153.666,47;617.999,41;406.443,72;6.896.837,39
08/2022;978.898,23;48.944,91;636.283,85;244.724,56;48.944,91;150.000;5.000;1.500;500;293.669,47;146.834,73;597.504,20;381.394,03;7.278.231,42
09/2022;933.733,92;46.686,70;606.927,05;233.433,48;46.686,70;150.000;5.000;1.500;500;280.120,18;140.060,09;577.180,27;356.553,66;7.634.785,07
10/2022;888.950,22;44.447,51;577.817,64;222.237,55;44.447,51;150.000;5.000;1.500;500;266.685,07;133.342,53;557.027,60;331.922,62;7.966.707,69
11/2022;804.330,58;40.216,53;522.814,88;201.082,65;40.216,53;150.000;5.000;1.500;500;241.299,17;120.649,59;518.948,76;285.381,82;8.252.089,51
12/2022;720.472,14;36.023,61;468.306,89;180.118,04;36.023,61;150.000;5.000;1.500;500;216.141,64;108.070,82;481.212,46;239.259,68;8.491.349,19
01/2023;796.718,62;39.835,93;517.867,10;199.179,66;39.835,93;150.000;5.000;1.500;500;239.015,59;119.507,79;515.523,38;281.195,24;8.772.544,43
02/2023;753.267,01;37.663,35;489.623,56;188.316,75;37.663,35;150.000;5.000;1.500;500;225.980,10;112.990,05;495.970,15;257.296,85;9.029.841,29
03/2023;828.561,99;41.428,10;538.565,29;207.140,50;41.428,10;150.000;5.000;1.500;500;248.568,60;124.284,30;529.852,90;298.709,10;9.328.550,38
04/2023;863.830,75;43.191,54;561.489,99;215.957,69;43.191,54;150.000;5.000;1.500;500;259.149,22;129.574,61;545.723,84;318.106,91;9.646.657,29
05/2023;937.793,64;46.889,68;609.565,86;234.448,41;46.889,68;150.000;5.000;1.500;500;281.338,09;140.669,05;579.007,14;358.786,50;10.005.443,79
06/2023;1.010.995,33;50.549,77;657.146,97;252.748,83;50.549,77;150.000;5.000;1.500;500;303.298,60;151.649,30;611.947,90;399.047,43;10.404.491,23
07/2023;967.353,42;48.367,67;628.779,72;241.838,36;48.367,67;150.000;5.000;1.500;500;290.206,03;145.103,01;592.309,04;375.044,38;10.779.535,61
08/2023;924.092,11;46.204,61;600.659,87;231.023,03;46.204,61;150.000;5.000;1.500;500;277.227,63;138.613,82;572.841,45;351.250,66;11.130.786,27
09/2023;881.211,39;44.060,57;572.787,40;220.302,85;44.060,57;150.000;5.000;1.500;500;264.363,42;132.181,71;553.545,13;327.666,27;11.458.452,53
10/2023;838.711,27;41.935,56;545.162,33;209.677,82;41.935,56;150.000;5.000;1.500;500;251.613,38;125.806,69;534.420,07;304.291,20;11.762.743,73
11/2023;758.658,81;37.932,94;493.128,23;189.664,70;37.932,94;150.000;5.000;1.500;500;227.597,64;113.798,82;498.396,47;260.262,35;12.023.006,08
