matricula,hash_usuario,produto
F0000740,okh80s0q,Pagamentos
F0001239,ga4deuf7,CDC
F0002019,okh80s0q,Crédito PF
F0002729,1ya0l7cg,Pix
F0003039,ncolapk1,Pix
F0003203,qcplhpkf,Crédito PF
F0003205,naq9n2eg,CDC
F0003206,r06igk49,CDC
F0003207,fak2721v,Pix
F0003209,0y1lgz3f,Pagamentos
F0003379,vg8x8ky4,Pix
F0004419,jalaywm1,CDC
F0005457,1ya0l7cg,Crédito PF
F0005759,dfswr1qa,CDC
F0006498,ga4deuf7,Pagamentos
F0006759,dvz9sm9o,Pix
F0007121,yv73pygq,Pagamentos
F0008863,rvr6w2xy,Pix
F0008999,ehv3iuan,Pagamentos
F0009358,w9wl5b62,Pagamentos
F0009359,0njm47km,CDC
F0010009,whkaa9r0,Pagamentos
F0010011,omxzw5g3,Pagamentos
F0010012,dhfc36a8,Pix
F0010013,xjrcv331,Pagamentos
F0010014,6g8ojh70,Pagamentos
F0010015,orlrj62z,Pagamentos
F0010017,52ilrzt2,Pagamentos
F0010018,r0de355g,Pagamentos
F0010020,7i1n4vuv,Crédito PF
F0010021,fp6bb81c,Pagamentos
F0010022,62pwyryb,CDC
F0010025,38fpal2g,Crédito PF
F0010026,v0vg48y5,Pagamentos
F0010027,q5qk0auj,Pix
F0010028,swelgm4j,Pagamentos
F0010029,s1bqvums,Pix
F0010030,02x6v2kk,Crédito PF
F0010031,f0402iik,Pix
F0010032,ud6m02q2,Pix
F0010033,2e3mnbon,CDC
F0010034,zd2u3bir,CDC
F0010035,9f5c8ps5,Pix
F0010037,b4381bnl,Pagamentos
F0010038,5xwcgkzo,Crédito PF
F0010039,swa52emm,CDC
F0010040,q0h9a8ad,CDC
F0010041,x3v2cosw,Pix
F0010042,d3q7k2o4,Crédito PF
F0010043,0rrdul4i,Pix
F0010044,0kg5c6cn,Crédito PF
F0010046,3403nsyo,Pix
F0010047,dy6evtkj,Crédito PF
F0010049,oy4zwl9k,Pagamentos
F0010050,r6ubhhcv,Pix
F0010051,u3n7ct2k,CDC
F0010053,ucg98a8e,Crédito PF
F0010054,a78m8n0k,Pix
F0010055,r471ob8n,Crédito PF
F0010056,zqhlwo1z,CDC
F0010057,fhr5c4m7,CDC
F0010058,fy5e9l2a,CDC
F0010059,vvpm9h4e,Pix
F0010060,3af3hbm2,Crédito PF
F0010061,qqm9bue5,Pix
F0010062,cka6fx8h,Pagamentos
F0010066,g866tqc1,Crédito PF
F0010067,tyn6pl1w,Pagamentos
F0010068,5swhhebi,Pagamentos
F0010071,06gbe1mj,Pix
F0010072,o9qh3xrj,Pagamentos
F0010073,6p0vatr1,Pagamentos
F0010075,cqx0ramp,CDC
F0010076,0m91v0c1,Pagamentos
F0010077,641ircb5,Pagamentos
F0010079,satk052i,Pagamentos
F0010081,g7z8npqt,Pagamentos
F0010082,3ls7c3hy,Pagamentos
F0010083,4clikk7a,Crédito PF
F0010084,3wtup0y6,Pix
F0010085,yerg0m94,Pix
F0010086,l6fyuc8z,Pix
F0010088,y2pflkf4,Pix
F0010089,8im1ocpj,Pagamentos
F0010090,9pbdemv2,Pagamentos
F0010091,r03if41b,Crédito PF
F0010092,x27el10y,Pagamentos
F0010093,5dwr1e9y,Crédito PF
F0010095,xekx4z1n,CDC
F0010097,0m91v0c1,Pagamentos
F0010101,xcktfx6e,Crédito PF
F0010102,7hbduevi,Pagamentos
F0010103,3vepmrry,Pix
F0010104,shaac6md,CDC
F0010105,xkgimag6,CDC
F0010106,w325nikr,Pagamentos
F0010107,pep5hg62,CDC
F0010108,aimla7sl,Pagamentos
F0010110,3wu0lkrl,Pagamentos
F0010111,k4r4ecu6,Pix
F0010112,ekif532b,Crédito PF
F0010113,25xz3e90,CDC
F0010114,kg6ou0km,Crédito PF
F0010115,an51gjmg,Pagamentos
F0010116,1o2hud2n,Pagamentos
F0010117,swa52emm,Crédito PF
F0010118,yfqhhzca,CDC
F0010120,aehw4xpw,Pix
F0010557,z2ay6jmh,Pix
F0010559,tk2yk2u2,Pagamentos
F0010709,ncolapk1,Crédito PF
F0011517,q75388bm,CDC
F0011521,p8g7kwg4,Pagamentos
F0012310,n30eqorb,Crédito PF
F0014039,gy6htdhc,Pagamentos
F0015599,h5rdezd9,Pagamentos
F0016119,q1th6mec,CDC
F0019239,mfkmbitc,Pagamentos
F0020279,qcplhpkf,Pagamentos
F0023397,oyl06tmr,Pix
F0025738,vrgt2iex,Pix
F0025739,3hbl9lhx,Pagamentos
F0026517,b0ikmmiw,CDC
F0026518,naq9n2eg,Pix
F0028861,f9b2fkuq,Pix
F0029119,g9vhqumm,Crédito PF
F0029378,4fio5h2r,Crédito PF
F0029379,uh8mv3g4,Crédito PF
F0030818,eeqxj17g,CDC
F0030819,zurd6ubh,CDC
F0034839,8rt7s1ry,Crédito PF
F0035469,2r6cwb17,Pagamentos
F0035499,wybexg4c,Pix
F0035879,4hv58q1f,CDC
F0036139,r06igk49,Pagamentos
F0036459,oyjr6lba,Pagamentos
F0036859,iftrtoj9,Crédito PF
F0036998,1mgzjm6j,Crédito PF
F0037497,ijw2k03w,CDC
F0037498,abj1lo7f,Pagamentos
F0037501,3amy0gqo,Pix
F0037699,4yjfgfgu,Pagamentos
F0037969,fak2721v,Pix
F0038229,3cjq3ole,Pagamentos
F0038279,q4dsou3m,Pagamentos
F0038738,9je5dx4l,Crédito PF
F0038999,m8buauwc,Pix
F0039254,vg8x8ky4,Pix
F0039255,52feglj7,Pagamentos
F0039256,0y1lgz3f,Crédito PF
F0039873,zccf4elg,Pagamentos
F0039874,m9mqsu6p,CDC
F0039875,jalaywm1,Crédito PF
F0039877,x3jm89t2,Pix
F0039881,bhbiv6xd,Pagamentos
F0039898,tmt2u5dk,Pix
F0039899,u7ekmcnq,Pix
F0040035,ejwrq3pa,Pagamentos
F0040036,fy4tnri1,CDC
F0040039,3axt66cg,CDC
F0041339,3qf8n5yt,Pix
F0042439,1648sh1q,Pix
F0042559,36x5tqbt,Crédito PF
F0042589,8gr1tpvb,CDC
F0042629,ickvtsle,Pix
F0042637,765vvrbx,Crédito PF
F0042638,cy37sx5w,Pagamentos
F0042639,yln0f82i,Crédito PF
F0042979,6kiq7teb,Pagamentos
F0043609,4jt0344f,Crédito PF
F0043939,wm799hj6,CDC
F0045199,bc100f7x,CDC
F0045548,fe33ukid,Pix
F0045549,r4b94fpx,Pix
F0045594,f4ag7y1i,Pix
F0045938,f66fxtmm,Crédito PF
F0045939,o73rjcyt,Pagamentos
F0046188,ohft5hq9,Pagamentos
F0046214,dfswr1qa,CDC
F0046215,hbv47hzm,Pagamentos
F0046539,dvz9sm9o,CDC
F0047058,yv73pygq,Crédito PF
F0047059,eyidhinr,Crédito PF
F0048359,9n1f4ype,Pagamentos
F0049619,qy6nyo7b,Pix
F0049621,t424x3ql,Crédito PF
F0049679,rvr6w2xy,Pagamentos
F0051999,ehv3iuan,Pix
F0052417,lbytlerf,Crédito PF
F0052418,n7z5gk6t,Pix
F0052450,eucn91w7,Crédito PF
F0053299,w9wl5b62,CDC
F0054079,hcnki67f,Crédito PF
F0054589,uh520r7j,CDC
F0055379,erhjd8eo,CDC
F0056079,yk496uig,CDC
F0056418,dqm8dx63,Pagamentos
F0064839,6wp9jyp2,Pix
F0065258,r0uh6mmc,Pix
F0065579,jt6672ll,CDC
F0065919,cp4fojqz,Pagamentos
F0065977,mr4qepeh,Pagamentos
F0065978,t6yv9itv,Pagamentos
F0065979,0wakvkft,Pix
F0069009,0njm47km,Pagamentos
F0069088,ht4df7wc,Pix
F0069094,g5lk969q,Pix
F0069098,ixtso3cl,Crédito PF
F0069111,ugxixo33,Pagamentos
F0069128,3kxg367g,Crédito PF
F0069129,whkaa9r0,Pix
F0069139,1u7lekbz,Pagamentos
F0069449,ujhp19o3,CDC
F0069457,omxzw5g3,CDC
F0069458,ssknwpds,Pix
F0069499,dhfc36a8,Pagamentos
F0069538,k3q5v7su,CDC
F0069544,0ohi9oh1,Crédito PF
F0069556,tu20rgyi,Pagamentos
F0069599,e6y7dy0b,Crédito PF
F0069621,xjrcv331,Pagamentos
F0069649,jwc9qhhu,Pix
F0070328,6g8ojh70,Crédito PF
F0070329,nhga23le,CDC
F0070339,qbkxzti0,Pix
F0070356,l7c4brrn,CDC
F0070382,bnh73asb,Pix
F0070436,52ilrzt2,Pagamentos
F0070439,orlrj62z,Crédito PF
F0070449,m9wb8vfs,Pagamentos
F0070479,w8wgm4p6,Pagamentos
F0071049,pn0fis5g,Pagamentos
F0071999,o6t4ygs9,Pagamentos
F0072017,ycfio18f,CDC
F0072018,7i7krn8i,Pix
F0072019,p7jy3afa,Pagamentos
F0072040,4yzexlbt,Crédito PF
F0073159,r0de355g,Crédito PF
F0073459,hisy9rjg,Pix
F0073599,bujcp3hd,Crédito PF
F0075559,8sli79gs,CDC
F0075919,wn0mumov,Pagamentos
F0076179,r230aqdp,Pagamentos
F0076199,7jpg0a3k,Pix
F0077479,vmu9cexo,Crédito PF
F0078438,wdbqjh5k,CDC
F0078513,ppvsz38r,CDC
F0078541,hez1p58k,CDC
F0078659,yvnjdf2n,Pagamentos
F0079161,m2go0qg8,CDC
F0079162,q2qw5rkb,CDC
F0079189,3rxr0en7,CDC
F0079649,2r0ddoyh,CDC
F0079669,8ysvf00l,Crédito PF
F0080119,ln0m2ljd,CDC
F0080669,u9qbstdt,Pagamentos
F0080798,a8id1ap0,Crédito PF
F0080799,b4q9su75,Pagamentos
F0082219,09ryopp5,Pix
F0082337,ejek0zz5,CDC
F0082368,8cbuhncu,Crédito PF
F0082369,s1hzw7n8,Crédito PF
F0082399,7i1n4vuv,Pix
F0082558,ktn9xyut,CDC
F0082960,jccs2dtr,Crédito PF
F0083458,v8d70o69,CDC
F0084499,fp6bb81c,Crédito PF
F0084519,3ajxcg8k,Crédito PF
F0084539,8h2iqcs4,CDC
F0084833,d9cunfip,CDC
F0085060,ipt6sjov,CDC
F0085109,fsvfxi1j,Pagamentos
F0085179,pdxb53zy,CDC
F0085239,0jgsu2vf,Pagamentos
F0085279,mmssauau,Crédito PF
F0085398,1w9gerqz,CDC
F0085399,toxquql7,Pix
F0085589,owt92zuk,Crédito PF
F0085601,62pwyryb,Pagamentos
F0085602,1vieblyw,Crédito PF
F0085603,jtvdxssd,CDC
F0085604,qh3rmm0a,Pagamentos
F0085605,2a1ydhne,Pagamentos
F0085608,n6gs4qt2,Crédito PF
F0085869,67v0r6s7,CDC
F0086477,y68g72ru,Crédito PF
F0086478,joqvn977,CDC
F0086547,a3fc9eif,Pix
F0086548,n1z5obae,Pix
F0086549,1sf6jy77,Pix
F0087384,38fpal2g,CDC
F0087399,v0vg48y5,Crédito PF
F0087458,q5qk0auj,Pix
F0088859,tg3ing00,CDC
F0089948,4syyj910,Pagamentos
F0089949,swelgm4j,Pagamentos
F0090019,0fortwwj,Pix
F0090739,6nn4zdn1,CDC
F0090949,md3ab6ui,CDC
F0091379,jx7wi95d,Pix
F0093186,w54ttzpq,Pix
F0093618,s3tclahx,Crédito PF
F0093678,5y800805,CDC
F0093759,2iv3ap0m,Pix
F0094119,g64lrbcz,Crédito PF
F0095607,6urzr99x,CDC
F0095608,9htfvwso,Pagamentos
F0095999,1xtuyw7c,Pix
F0096459,zckea0k9,Crédito PF
F0096609,7eclywtp,Pagamentos
F0097539,j6itp00d,Pix
F0097599,xa5ugzdh,Crédito PF
F0097938,s36fay0k,Crédito PF
F0097939,dsk24bs4,Pix
F0098209,sdixq156,CDC
F0098277,s1bqvums,Crédito PF
F0098641,crfqyrph,Pagamentos
F0098849,j849omt5,CDC
F0099208,8wwfsbe9,Pix
F0099220,hhs6zleb,Pix
F0099221,02x6v2kk,CDC
F0099222,rmuna9q8,Pix
F0099223,djy2allx,Pix
F0099276,jl7wkylk,Crédito PF
F0099279,8wjd99bc,Crédito PF
F0099308,wiyvj9pg,Pagamentos
F0099579,lhec5tn8,Crédito PF
F0099613,a75f9g4y,CDC
F0099614,dfs3e1sk,Crédito PF
F0099615,3yf5iukq,CDC
F0099617,7f7abgei,Pagamentos
F0099618,5xlbe3s4,CDC
F0099622,6296qplq,CDC
F0099624,tp1ivvcl,Crédito PF
F0099634,skg9d65k,Pix
F0099668,gxe121qc,CDC
F0099669,kpfuppkc,Pix
F0099699,rq59yld2,CDC
F0099719,ud6m02q2,Pagamentos
F0099741,hvkwe9fw,Crédito PF
F0099756,mt4mecne,Pagamentos
F0099757,wkpuwn4j,Pagamentos
F0099828,u6dkp52e,Pix
F0099829,zd2u3bir,Pagamentos
F0099838,jj0qbpuy,Pix
F0099839,ful4k82e,Crédito PF
F0099919,80hc0glk,Pagamentos
F0100104,eeploech,Crédito PF
F0100105,vnezuo7j,Pagamentos
F0100107,i4m39mua,Pix
F0100108,udxg67ig,CDC
F0100111,5xwcgkzo,CDC
F0100141,smtbuwpj,Pix
F0100142,6jbnkojf,CDC
F0100174,ee4kk1nr,Pagamentos
F0100297,vr7mkk8a,Crédito PF
F0100298,0s5zd9ge,Pagamentos
F0100299,7dgugwpu,CDC
F0100359,txd4mx2z,Pagamentos
F0100622,v831ymj9,Pix
F0100629,swa52emm,CDC
F0100679,00lonjvl,Pix
F0101239,8gj7trrr,Pix
F0101399,bklt2aal,CDC
F0102179,atwpbfys,Pagamentos
F0102199,eiqne06f,Pagamentos
F0102449,lfl93azr,Pix
F0102469,tw92y64r,CDC
F0102528,ixz1opbk,Pix
F0102548,h8s6jg3d,CDC
